样品,m1H0,m1H1,m1H2,m2H2,m2H1,m2H0
空样品管,19.3233,19.3224,19.3221,19.3223,19.3226,19.3237
,19.3236,19.3226,19.3224,19.3224,19.3225,19.3235
莫尔盐+空管,25.4385,25.5072,25.5315,25.5315,25.5074,25.4386
,25.4388,25.5072,25.5319,25.5319,25.5072,25.4388
FeSO4•7H2O+空管,25.2196,25.3174,25.3516,25.3517,25.3174,25.2197
,25.2198,25.3174,25.3519,25.352,25.317,25.2199
K3Fe(CN)6+空管,25.734,25.7494,25.7551,25.7551,25.7495,25.734
,25.734,25.7493,25.755,25.755,25.7495,25.7341
K4Fe(CN)6•3H2O,25.5149,25.5134,25.5129,25.5128,25.5135,25.5149
,25.515,25.5136,25.513,25.5128,25.5134,25.5149
